x,y_точное,y_Эйлера,Δy_Эйлера,y_Рунге-Кутты,Δy_Рунге-Кутты
0,1,1,0,1,0
0.1,1.105170918075648,1.1,0.005170918075647624,1.105170393985842,5.240898059977184e-07
0.2,1.22140275816017,1.209433860340586,0.01196889781958355,1.221401409910044,1.348250126209649e-06
0.3,1.349858807576003,1.32895505306153,0.02090375451447302,1.34985619951589,2.608060112763155e-06
0.4,1.49182469764127,1.459175152981263,0.03264954466000747,1.491820200653593,4.496987677349296e-06
0.5,1.648721270700128,1.600621769911833,0.04809950078829561,1.648713979080784,7.291619343874345e-06
0.6000000000000001,1.822118800390509,1.753679508725517,0.06843929166499163,1.822107411920522,1.138846998727239e-05
0.7000000000000001,2.013752707470477,1.918508468760909,0.095244238709568,2.013735349447674,1.73580228031156e-05
0.8,2.225540928492468,2.094933603611481,0.1306073248809874,2.225514903912343,2.602458012468389e-05
0.9,2.45960311115695,2.282297305223941,0.1773058059330093,2.45956452611144,3.858504550935393e-05
1,2.718281828459045,2.479267412339324,0.2390144161197214,2.718225041619603,5.678683944232432e-05
